,population,city,province,# restaurants,restaurants per capita,population per restaurant,restaurants per 10k people,"city, state"
0,8336817.0,New York,NY,72,8.636389643673358e-06,115789.125,0.08636389643673359,"New York, NY"
1,3979576.0,Los Angeles,CA,112,2.8143701741090006e-05,35531.92857142857,0.28143701741090005,"Los Angeles, CA"
2,2693976.0,Chicago,IL,137,5.085420211612872e-05,19664.058394160584,0.5085420211612872,"Chicago, IL"
3,2320268.0,Houston,TX,189,8.145610765652934e-05,12276.550264550264,0.8145610765652933,"Houston, TX"
4,1680992.0,Phoenix,AZ,137,8.149949553596923e-05,12270.014598540147,0.8149949553596924,"Phoenix, AZ"
5,1584064.0,Philadelphia,PA,85,5.3659448103106943e-05,18636.04705882353,0.5365944810310694,"Philadelphia, PA"
6,1547253.0,San Antonio,TX,91,5.881391084715945e-05,17002.78021978022,0.5881391084715945,"San Antonio, TX"
7,1423851.0,San Diego,CA,68,4.7757806118758216e-05,20938.985294117647,0.47757806118758217,"San Diego, CA"
8,1343573.0,Dallas,TX,96,7.145127209314269e-05,13995.552083333334,0.7145127209314268,"Dallas, TX"
9,1021795.0,San Jose,CA,97,9.493097930602518e-05,10533.969072164948,0.9493097930602518,"San Jose, CA"
10,978908.0,Austin,TX,69,7.048670559439703e-05,14187.072463768116,0.7048670559439703,"Austin, TX"
11,911507.0,Jacksonville,FL,61,6.692214102579574e-05,14942.737704918032,0.6692214102579574,"Jacksonville, FL"
12,909585.0,Fort Worth,TX,42,4.6174903939708766e-05,21656.785714285714,0.46174903939708767,"Fort Worth, TX"
13,898553.0,Columbus,OH,161,0.0001791769656325225,5581.074534161491,1.7917696563252252,"Columbus, OH"
14,885708.0,Charlotte,NC,78,8.806514110745302e-05,11355.23076923077,0.8806514110745302,"Charlotte, NC"
15,881549.0,San Francisco,CA,28,3.176227299900516e-05,31483.89285714286,0.3176227299900516,"San Francisco, CA"
16,753675.0,Seattle,WA,70,9.287823000630246e-05,10766.785714285714,0.9287823000630244,"Seattle, WA"
17,727211.0,Denver,CO,111,0.00015263795514644307,6551.45045045045,1.5263795514644305,"Denver, CO"
18,705749.0,Washington,DC,39,5.526043961805118e-05,18096.128205128207,0.5526043961805118,"Washington, DC"
19,692600.0,Boston,MA,25,3.6095870632399656e-05,27704.0,0.3609587063239965,"Boston, MA"
20,681728.0,El Paso,TX,55,8.067733758918514e-05,12395.054545454546,0.8067733758918514,"El Paso, TX"
21,670031.0,Detroit,MI,34,5.0743920803664307e-05,19706.79411764706,0.5074392080366431,"Detroit, MI"
22,655057.0,Oklahoma City,OK,108,0.00016487114861760122,6065.342592592592,1.6487114861760122,"Oklahoma City, OK"
23,654741.0,Portland,OR,106,0.0001618960779911446,6176.801886792453,1.6189607799114458,"Portland, OR"
24,651319.0,Las Vegas,NV,193,0.0002963217716664185,3374.7098445595857,2.9632177166641847,"Las Vegas, NV"
25,651073.0,Memphis,TN,70,0.00010751482552647707,9301.042857142857,1.0751482552647706,"Memphis, TN"
26,593490.0,Baltimore,MD,11,1.8534431919661663e-05,53953.63636363636,0.18534431919661665,"Baltimore, MD"
27,590157.0,Milwaukee,WI,48,8.133428901122922e-05,12294.9375,0.8133428901122921,"Milwaukee, WI"
28,560513.0,Albuquerque,NM,82,0.0001462945551664279,6835.524390243902,1.462945551664279,"Albuquerque, NM"
29,548073.0,Tucson,AZ,82,0.00014961510601689922,6683.817073170731,1.4961510601689922,"Tucson, AZ"
30,531576.0,Fresno,CA,27,5.079236082893133e-05,19688.0,0.5079236082893133,"Fresno, CA"
31,518012.0,Mesa,AZ,60,0.00011582743256912967,8633.533333333333,1.1582743256912966,"Mesa, AZ"
32,513624.0,Sacramento,CA,62,0.00012071087020855723,8284.258064516129,1.2071087020855722,"Sacramento, CA"
33,506811.0,Atlanta,GA,91,0.00017955411386098564,5569.351648351649,1.7955411386098565,"Atlanta, GA"
34,495327.0,Kansas City,MO,42,8.479247042862594e-05,11793.5,0.8479247042862594,"Kansas City, MO"
35,478221.0,Colorado Springs,CO,34,7.109683598169047e-05,14065.323529411764,0.7109683598169048,"Colorado Springs, CO"
36,478192.0,Omaha,NE,59,0.0001233814032857095,8104.949152542373,1.233814032857095,"Omaha, NE"
37,474069.0,Raleigh,NC,57,0.00012023566189731875,8317.0,1.2023566189731874,"Raleigh, NC"
38,467963.0,Miami,FL,152,0.0003248120043678667,3078.7039473684213,3.2481200436786666,"Miami, FL"
