,name,address,city,province,latitude,longitude
0,mcdonalds,324 Main St,Massena,NY,44.9213,-74.89021
1,wendys,530 Clinton Ave,Washington Court House,OH,39.53255,-83.44526
2,frischsbigboy,408 Market Square Dr,Maysville,KY,38.62736,-83.79141
3,mcdonalds,6098 State Highway 37,Massena,NY,44.95008,-74.84553
4,omgrotisserie,139 Columbus Rd,Athens,OH,39.35155,-82.09728
5,dominospizza,4182 Tonya Trl,Hamilton,OH,39.4176,-84.47641
6,dominospizza,590 S Main St,Englewood,OH,39.86969,-84.29358
7,mcdonalds,401 N Jennings St,Saluda,SC,34.00598,-81.7704
8,wendys,205 W Church St,Batesburg,SC,33.91335,-81.5333
9,pizzahut,2711 W. Kings Highway Ste. 18,Paragould,AR,36.06107,-90.52325
10,sonicdrivein,613 W Center St,Sheridan,AR,34.30687,-92.40784
11,dominospizza,512 Highway 425 S Lot B,Monticello,AR,33.61937,-91.80232
12,mcdonalds,1535 NW 50th St,Oklahoma City,OK,35.52234,-97.5382
13,dominospizza,125 Towne Center Dr,Lexington,KY,38.06753,-84.53043
14,longjohnsilvers,66 14th St.,Tell City,IN,37.941032,-86.762115
15,mcdonalds,301 University Blvd,Louisville,KY,38.21999,-85.764824
16,mcdonalds,5812 NW Expressway,Oklahoma City,OK,35.54815,-97.61717
17,tacobell,101 Thomas Garst Ln,Leland,NC,34.23389,-77.99544
18,mcdonalds,1111 New Pointe Blvd,Leland,NC,34.21188,-78.02454
19,qdobamexicangrill,782 Old Hickory Blvd Ste 120,Brentwood,TN,36.04222,-86.77995
20,mcdonalds,108 Village Rd NE,Leland,NC,34.234477,-78.000649
21,mcdonalds,1116 Old Highway 60,Hardinsburg,KY,37.792641,-86.492762
22,mcdonalds,1423 Southwest Pkwy,Wichita Falls,TX,33.85371,-98.50065
23,mcdonalds,908 Padre Blvd,South Padre Island,TX,26.09105,-97.1643
24,mcdonalds,1131n N Main St,Miami,OK,36.88826,-94.87766
25,pizzahut,3401 Hwy 165 North,Pineville,LA,31.3626,-92.41343
26,sonicdrivein,1631 E Madison Ave,Bastrop,LA,32.77992,-91.89477
27,dominospizza,301 S Lynn Riggs Blvd,Claremore,OK,36.31069,-95.61759
28,mcdonalds,601 E Lincolnway,Minerva,OH,40.732,-81.09812
29,sonicdrivein,3211 S 4th St,Leavenworth,KS,39.28532,-94.90441
30,tacobell,105 Business Loop W,Jamestown,ND,46.898997,-98.707788
31,dominospizza,1531 University Dr S,Fargo,ND,46.85659,-96.79863
32,tacojohns,718 10th St SE,Jamestown,ND,46.89896,-98.6984
33,mcdonalds,1400 24th Ave SW,Minot,ND,48.20858,-101.3128
34,whataburger,703 S Magnolia St,Woodville,TX,30.76846,-94.41477
35,pizzahut,1535 S Broadway,Minot,ND,48.219459,-101.296022
36,dominospizza,775 S Main St,Smithfield,UT,41.82069,-111.83318
37,hamburgerking,218 W Main St,Ada,OK,34.77482,-96.68126
38,sonicdrivein,3208 S Elm Pl,Broken Arrow,OK,36.01948,-95.79756
39,dominospizza,3056 Classen Blvd Unit A,Norman,OK,35.18173,-97.41709
40,burgerking,982 Macon St,Warner Robins,GA,32.59495,-83.58338
41,burgerking,6060 San Mateo Blvd NE,Albuquerque,NM,35.144456,-106.585927
42,mcdonalds,8401 Gateway Blvd W Ste M4,El Paso,TX,31.77465,-106.38071
43,sonicdrivein,450 N Harrison Ave,Shawnee,OK,35.33252,-96.91222
44,tacotime,9455 SW Barbur Blvd,Portland,OR,45.457027,-122.713696
45,mcdonalds,351 River Hill Dr,Ashland,KY,38.48554,-82.658096
46,burgerking,18000 Bagley Rd,Cleveland,OH,41.373042,-81.826072
47,mcdonalds,3700 N 1st Ave,Evansville,IN,38.01322,-87.57549
48,jimmyjohns,895 N Highway 77 Ste 300,Waxahachie,TX,32.41269,-96.84213
49,dominospizza,819 SW 19th St,Oklahoma City,OK,35.32026,-97.50536
50,jerseymikessubs,"95-1249 Meheula Parkway,",Mililani,HI,21.45311,-158.01738
51,popeyeslouisianakitchen,1625 Veterans Pkwy,Jeffersonville,IN,38.32967,-85.74938
52,qdobamexicangrill,2730 S Hurstbourne Pkwy Suite 100,Louisville,KY,38.21234,-85.59548
53,dominospizza,5680 Commercial St SE Ste 100,Salem,OR,44.87205,-123.02243
54,whataburger,2870 W Loop 1604 S,San Antonio,TX,29.4033,-98.70619
55,qdobamexicangrill,1321 Herr Ln Ste 150,Louisville,KY,38.26897,-85.61074
56,tacobell,100 Northside Dr,Bennington,VT,42.89413,-73.20316
57,whataburger,6611 S Mo Pac Expy Ste B,Austin,TX,30.22023,-97.83528
58,whataburger,9300 S Interstate 35 Bldg H,Austin,TX,30.16525,-97.78887
59,hardees,315 N Stephenson Ave,Iron Mountain,MI,45.825755,-88.063121
60,mcdonalds,2439 Springs Rd NE,Hickory,NC,35.75332,-81.28572
61,rallys,9651 Natural Bridge Rd,Saint Louis,MO,38.72914,-90.34394
62,quiznos,1665 Dove Park Rd Ste 300,Mandeville,LA,30.41178,-90.04186
63,burgerking,225 Grant Ave,Auburn,NY,42.94987,-76.54722
64,whataburger,5400 FM 1640 Rd Ste 500,Richmond,TX,29.55941,-95.76008
65,dominospizza,2448 University Ave,Green Bay,WI,44.51312,-87.96051
66,sonicdrivein,111 Commons Dr,Maumelle,AR,34.84808,-92.40624
67,tacobell,344 S Service Rd E,Sullivan,MO,38.22303,-91.15696
68,dominospizza,6490 Memphis Arlington Rd Ste 103,Memphis,TN,35.22655,-89.84786
69,tacobell,2124 S 1st St,Yakima,WA,46.57144,-120.48825
70,jimmyjohns,482 Branson Landing Blvd Ste 105,Branson,MO,36.65075,-93.22026
71,tacobell,406 S Thompson St,Springdale,AR,36.182436,-94.138658
72,dominospizza,5094 Murfreesboro Rd Ste 1,La Vergne,TN,36.02074,-86.5812
73,mcdonalds,801 S Vaughn Dr,Brusly,LA,30.387691,-91.25265
74,dominospizza,5100 NC Highway 87 S Ste 102,Fayetteville,NC,34.9297,-78.85668
75,burgerking,Co-Op City,Bronx,NY,40.8691,-73.8248
76,mcdonalds,3898 Cleveland Hwy,Dalton,GA,34.89383,-84.94654
77,jackinthebox,1865 Blankenship Rd,West Linn,OR,45.349698,-122.653281
